Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
430332;Botarell;22,8;22,0;44,8
250560;Bovera;2,3;1,8;4,0
430347;Bràfim;9,0;11,1;20,1
170274;Breda;70,1;102,9;173,0
080253;Bruc, el;33,0;54,5;87,5
080266;Brull, el;5,2;5,4;10,6
170280;Brunyola i Sant Martí Sapresa;1,8;3,4;5,2
430350;Cabacés;4,7;4,8;9,4
250609;Cabanabona;0,6;0,2;0,8
170314;Cabanelles;4,0;3,0;7,0
170307;Cabanes;16,9;14,7;31,6
080272;Cabanyes, les;6,3;26,4;32,7
250616;Cabó;2,3;1,7;3,9
430363;Cabra del Camp;37,1;43,3;80,3
080288;Cabrera d'Anoia;41,7;60,6;102,3
080291;Cabrera de Mar;46,6;70,4;117,0
080305;Cabrils;97,8;122,8;220,6
170329;Cadaqués;17,9;14,7;32,6
080312;Calaf;62,2;105,1;167,3
430379;Calafell;630,4;964,5;1594,9
080348;Calders;15,0;10,1;25,1
080327;Caldes d'Estrac;52,8;56,8;109,7
170335;Caldes de Malavella;128,3;208,4;336,8
080333;Caldes de Montbui;287,2;399,6;686,8
080351;Calella;387,4;554,6;942,0
080370;Calldetenes;28,7;36,2;64,8
080386;Callús;44,3;57,8;102,1
080364;Calonge de Segarra;0,7;1,3;1,9
170340;Calonge i Sant Antoni;173,8;223,7;397,5
250621;Camarasa;11,2;5,4;16,6
439039;Camarles;55,0;96,7;151,7
430385;Cambrils;569,8;931,6;1501,4
170353;Camós;11,7;12,7;24,3
170366;Campdevànol;43,2;56,6;99,8
170372;Campelles;0,3;2,3;2,7
080399;Campins;8,7;11,7;20,3
170388;Campllong;3,7;3,0;6,7
170391;Camprodon;28,3;31,7;59,9
250637;Canejan;0,3;2,6;2,8
170405;Canet d'Adri;10,3;5,8;16,1
080403;Canet de Mar;263,6;382,8;646,3
439076;Canonja, la;103,7;167,2;270,8
080410;Canovelles;481,4;578,9;1060,3
080425;Cànoves i Samalús;56,9;88,3;145,2
170412;Cantallops;7,3;5,6;12,9
080431;Canyelles;124,0;137,7;261,7
430398;Capafonts;3,8;1,2;4,9
430402;Capçanes;3,3;6,1;9,4
080446;Capellades;106,9;120,9;227,8
170427;Capmany;10,2;9,4;19,6
080459;Capolat;1,0;0,0;1,0
080462;Cardedeu;299,2;446,6;745,8
080478;Cardona;82,7;117,1;199,8
080484;Carme;18,5;24,1;42,6
430419;Caseres;5,3;6,3;11,5
170448;Cassà de la Selva;157,9;224,2;382,1
080497;Casserres;37,0;38,9;75,9
170486;Castell d'Aro, Platja d'Aro i s'Agaró;137,8;182,1;319,8
080575;Castell de l'Areny;1,4;0,3;1,8
259046;Castell de Mur;4,7;1,8;6,5
250642;Castellar de la Ribera;0,8;1,1;1,8
080522;Castellar de n'Hug;2,9;4,7;7,6
080500;Castellar del Riu;1,9;2,3;4,3
080517;Castellar del Vallès;360,9;574,2;935,1
080538;Castellbell i el Vilar;99,0;107,4;206,4
080543;Castellbisbal;177,0;314,9;491,9
080556;Castellcir;13,8;20,6;34,3
250674;Castelldans;13,6;15,8;29,3
080569;Castelldefels;986,1;1325,9;2312,0
080581;Castellet i la Gornal;53,7;78,2;131,8
170464;Castellfollit de la Roca;14,5;16,4;30,9
080608;Castellfollit de Riubregós;3,0;3,4;6,4
080594;Castellfollit del Boix;3,9;7,2;11,1
080615;Castellgalí;47,5;55,9;103,4
080620;Castellnou de Bages;19,0;38,1;57,1
250680;Castellnou de Seana;9,3;9,8;19,1
170470;Castelló d'Empúries;186,8;259,6;446,3
250693;Castelló de Farfanya;8,1;8,2;16,3
080636;Castellolí;4,5;8,8;13,3
250707;Castellserà;18,6;16,7;35,3
080641;Castellterçol;37,9;51,5;89,4
430424;Castellvell del Camp;40,3;54,8;95,1
080654;Castellví de la Marca;24,4;33,2;57,6
080667;Castellví de Rosanes;21,3;31,7;53,0
430430;Catllar, el;63,3;104,4;167,7
250714;Cava;0,9;0,0;0,9
171899;Cellera de Ter, la;27,8;33,0;60,8
170499;Celrà;69,6;104,6;174,2
080673;Centelles;115,6;173,1;288,7
082687;Cercs;26,8;35,3;62,2
082665;Cerdanyola del Vallès;903,8;1200,4;2104,2
080689;Cervelló;149,3;206,7;356,0
250729;Cervera;149,8;185,3;335,2
250735;Cervià de les Garrigues;13,9;15,4;29,3
170502;Cervià de Ter;8,2;12,0;20,2
170519;Cistella;3,3;6,8;10,1
250740;Ciutadilla;2,2;4,6;6,8
250753;Clariana de Cardener;2,3;3,2;5,4
250766;Cogul, el;1,8;3,2;4,9
170545;Colera;5,5;12,6;18,1
