Atur registrat. Per sexe. Mitjanes anuals;;;;
Municipis. 2024;;;;
Unitats: Persones.;;;;
Font: Departament d'Empresa i Treball.;;;;
Institut d'Estadística de Catalunya;;;;
https://www.idescat.cat/pub/?id=atureg&n=4299&geo=mun;;;;
Codi;Nom;Sexe. Homes;Sexe. Dones;Sexe. Total
171365;Pontós;2,9;4,1;7,0
251728;Ponts;43,8;56,1;99,9
171371;Porqueres;43,0;68,0;111,0
431140;Porrera;7,4;6,2;13,6
171404;Port de la Selva, el;4,8;9,0;13,8
171387;Portbou;14,7;17,7;32,3
251749;Portella, la;7,6;11,7;19,3
431153;Pradell de la Teixeta;1,6;3,0;4,6
431166;Prades;8,7;9,2;17,8
431172;Prat de Comte;4,2;1,3;5,4
081691;Prat de Llobregat, el;1140,8;1649,8;2790,7
431188;Pratdip;16,0;24,8;40,8
081712;Prats de Lluçanès;40,3;59,3;99,6
081705;Prats de Rei, els;6,4;6,3;12,8
251752;Prats i Sansor;0,2;3,5;3,7
251765;Preixana;2,5;6,5;9,0
251771;Preixens;4,9;7,0;11,9
082303;Premià de Dalt;156,1;220,7;376,8
081727;Premià de Mar;552,3;741,3;1293,5
171390;Preses, les;18,9;31,5;50,4
251790;Prullans;1,5;2,4;3,9
171411;Puigcerdà;99,3;155,8;255,1
081748;Puigdàlber;9,4;16,0;25,4
251804;Puiggròs;5,1;4,8;9,9
431191;Puigpelat;22,2;31,4;53,6
081751;Puig-reig;63,1;99,1;162,2
251811;Puigverd d'Agramunt;2,3;4,5;6,8
251826;Puigverd de Lleida;9,7;25,8;35,5
081764;Pujalt;0,6;0,3;0,8
081770;Quar, la;1,0;1,0;2,0
171426;Quart;55,1;55,4;110,5
170433;Queralbs;3,9;0,9;4,8
431205;Querol;23,9;24,4;48,3
171432;Rabós;2,5;1,2;3,7
081786;Rajadell;6,7;11,4;18,1
431362;Ràpita, la;259,9;436,7;696,6
431212;Rasquera;9,0;18,4;27,4
171447;Regencós;1,3;4,5;5,8
081799;Rellinars;23,0;18,9;41,9
431227;Renau;1,3;1,5;2,8
431233;Reus;2377,0;3408,7;5785,7
251832;Rialp;5,8;5,6;11,3
431248;Riba, la;7,3;16,2;23,4
431251;Riba-roja d'Ebre;22,1;18,2;40,3
259059;Ribera d'Ondara;4,5;11,0;15,5
251850;Ribera d'Urgellet;8,3;9,7;18,0
171450;Ribes de Freser;30,0;24,8;54,8
171463;Riells i Viabrea;105,3;174,9;280,3
431264;Riera de Gaià, la;21,8;32,2;53,9
251863;Riner;0,8;3,8;4,6
171479;Ripoll;166,8;225,5;392,3
081803;Ripollet;849,1;1234,5;2083,6
259139;Riu de Cerdanya;0,4;1,6;2,0
171485;Riudarenes;51,7;71,0;122,7
171498;Riudaura;3,9;9,0;12,9
431270;Riudecanyes;21,8;35,8;57,6
431286;Riudecols;22,3;38,2;60,5
171501;Riudellots de la Selva;23,3;40,2;63,4
431299;Riudoms;107,8;145,3;253,2
171518;Riumors;1,3;1,8;3,0
081810;Roca del Vallès, la;163,6;245,5;409,1
431303;Rocafort de Queralt;4,6;3,3;7,9
431310;Roda de Berà;153,9;198,3;352,2
081831;Roda de Ter;108,4;162,3;270,8
431325;Rodonyà;14,6;15,3;29,9
431331;Roquetes;156,7;188,6;345,3
171523;Roses;261,7;375,1;636,8
251898;Rosselló;61,8;86,0;147,8
431346;Rourell, el;7,3;9,8;17,1
081846;Rubí;1694,8;2407,5;4102,3
081859;Rubió;3,8;3,0;6,8
171539;Rupià;1,3;3,8;5,1
089019;Rupit i Pruit;1,3;6,0;7,3
081878;Sabadell;4727,8;6350,9;11078,8
081884;Sagàs;0,4;1,3;1,8
251902;Salàs de Pallars;9,2;6,0;15,2
081901;Saldes;5,2;7,6;12,8
171544;Sales de Llierca;2,3;1,1;3,3
081918;Sallent;118,9;164,5;283,4
431359;Salomó;7,0;3,5;10,5
439057;Salou;378,3;548,2;926,5
171557;Salt;898,2;1046,7;1944,8
251919;Sanaüja;2,9;4,6;7,5
081944;Sant Adrià de Besòs;1049,4;1446,4;2495,8
081957;Sant Agustí de Lluçanès;2,2;1,7;3,8
081960;Sant Andreu de la Barca;437,3;717,6;1154,8
081976;Sant Andreu de Llavaneres;144,7;205,3;349,9
171576;Sant Andreu Salou;1,1;2,3;3,4
171833;Sant Aniol de Finestres;4,0;1,8;5,8
081982;Sant Antoni de Vilamajor;114,6;179,2;293,8
081995;Sant Bartomeu del Grau;16,4;21,6;38,0
082009;Sant Boi de Llobregat;1475,6;2197,5;3673,1
082016;Sant Boi de Lluçanès;10,8;3,3;14,0
082037;Sant Cebrià de Vallalta;63,9;101,7;165,6
082021;Sant Celoni;376,3;509,8;886,1
082042;Sant Climent de Llobregat;56,0;90,9;146,9
171582;Sant Climent Sescebes;9,0;9,5;18,5
082055;Sant Cugat del Vallès;1083,0;1345,8;2428,8
082068;Sant Cugat Sesgarrigues;13,3;15,8;29,0
251961;Sant Esteve de la Sarga;1,0;2,8;3,8
082074;Sant Esteve de Palautordera;40,2;60,6;100,8
082080;Sant Esteve Sesrovires;107,3;137,2;244,5
171595;Sant Feliu de Buixalleu;18,0;21,8;39,8
082107;Sant Feliu de Codines;126,3;171,8;298,1
171609;Sant Feliu de Guíxols;379,6;472,1;851,7
082114;Sant Feliu de Llobregat;671,8;941,8;1613,6
171616;Sant Feliu de Pallerols;21,8;21,4;43,2
082129;Sant Feliu Sasserra;8,0;11,4;19,4
171621;Sant Ferriol;4,2;3,1;7,3
082093;Sant Fost de Campsentelles;141,6;201,4;343,0
082135;Sant Fruitós de Bages;118,3;192,3;310,5
171637;Sant Gregori;27,9;51,5;79,4
251924;Sant Guim de Freixenet;15,2;22,3;37,4
251977;Sant Guim de la Plana;2,6;5,2;7,8
171642;Sant Hilari Sacalm;63,2;136,9;200,1
082153;Sant Hipòlit de Voltregà;58,3;80,3;138,6
081939;Sant Iscle de Vallalta;25,6;40,3;65,9
439023;Sant Jaume d'Enveja;67,8;111,3;179,2
082166;Sant Jaume de Frontanyà;0,0;1,8;1,8
171655;Sant Jaume de Llierca;11,2;21,6;32,8
431378;Sant Jaume dels Domenys;49,9;72,3;122,3
171674;Sant Joan de les Abadesses;40,9;52,9;93,8
171680;Sant Joan de Mollet;4,8;7,3;12,0
082188;Sant Joan de Vilatorrada;178,5;263,9;442,4
082172;Sant Joan Despí;497,0;692,7;1189,7
171851;Sant Joan les Fonts;41,8;53,3;95,0
171668;Sant Jordi Desvalls;11,4;11,8;23,2
089030;Sant Julià de Cerdanyola;3,6;2,2;5,8
171693;Sant Julià de Ramis;42,8;78,6;121,3
082205;Sant Julià de Vilatorta;33,1;44,1;77,2
179032;Sant Julià del Llor i Bonmatí;23,8;32,9;56,7
082212;Sant Just Desvern;204,8;296,5;501,3
082227;Sant Llorenç d'Hortons;38,5;60,8;99,3
171714;Sant Llorenç de la Muga;4,3;4,5;8,8
251930;Sant Llorenç de Morunys;5,3;8,5;13,8
082233;Sant Llorenç Savall;43,9;62,7;106,6
082251;Sant Martí d'Albars;0,7;1,8;2,4
082248;Sant Martí de Centelles;33,9;39,9;73,8
171729;Sant Martí de Llémena;4,3;10,6;14,8
259025;Sant Martí de Riucorb;6,5;12,6;19,1
082264;Sant Martí de Tous;16,6;19,5;36,1
082270;Sant Martí Sarroca;36,1;84,9;121,0
082286;Sant Martí Sesgueioles;4,2;4,4;8,6
171735;Sant Martí Vell;3,8;2,9;6,7
082299;Sant Mateu de Bages;13,5;8,3;21,8
171740;Sant Miquel de Campmajor;3,2;2,7;5,8
171753;Sant Miquel de Fluvià;18,8;33,8;52,7
171766;Sant Mori;1,9;2,3;4,3
171772;Sant Pau de Segúries;7,4;14,4;21,8
082310;Sant Pere de Ribes;632,9;942,4;1575,3
082325;Sant Pere de Riudebitlles;35,2;49,8;84,9
082331;Sant Pere de Torelló;47,8;55,2;103,0
082346;Sant Pere de Vilamajor;90,5;115,5;206,0
171788;Sant Pere Pescador;23,9;23,7;47,6
081897;Sant Pere Sallavinera;0,3;0,0;0,3
082359;Sant Pol de Mar;72,6;119,1;191,7
082362;Sant Quintí de Mediona;57,4;71,6;129,0
082378;Sant Quirze de Besora;38,4;49,9;88,3
082384;Sant Quirze del Vallès;223,8;383,7;607,4
082397;Sant Quirze Safaja;12,4;15,2;27,6
251945;Sant Ramon;2,3;6,7;9,0
082401;Sant Sadurní d'Anoia;202,1;324,4;526,5
082418;Sant Sadurní d'Osormort;0,3;2,7;3,0
080983;Sant Salvador de Guardiola;61,4;82,3;143,7
082628;Sant Vicenç de Castellet;204,3;329,0;533,3
082649;Sant Vicenç de Montalt;87,4;108,3;195,7
082652;Sant Vicenç de Torelló;30,2;46,5;76,7
082634;Sant Vicenç dels Horts;533,0;875,5;1408,5
431384;Santa Bàrbara;80,5;93,7;174,2
082439;Santa Cecília de Voltregà;2,3;1,8;4,1
082444;Santa Coloma de Cervelló;96,0;134,7;230,7
171805;Santa Coloma de Farners;215,3;315,9;531,3
082457;Santa Coloma de Gramenet;2768,6;3694,9;6463,5
431397;Santa Coloma de Queralt;28,4;59,1;87,5
171812;Santa Cristina d'Aro;56,0;72,0;128,0
082460;Santa Eugènia de Berga;29,0;40,2;69,2
082476;Santa Eulàlia de Riuprimer;14,0;29,4;43,4
082482;Santa Eulàlia de Ronçana;124,8;171,1;295,8
082495;Santa Fe del Penedès;4,6;8,1;12,7
171827;Santa Llogaia d'Àlguema;6,0;7,8;13,8
082508;Santa Margarida de Montbui;265,8;429,2;695,0
082515;Santa Margarida i els Monjos;129,3;198,6;327,8
082589;Santa Maria d'Oló;7,9;19,4;27,3
082536;Santa Maria de Besora;1,4;2,4;3,8
082567;Santa Maria de Martorelles;17,5;15,1;32,6
082554;Santa Maria de Merlès;1,9;6,1;8,0
082573;Santa Maria de Miralles;4,2;3,0;7,2
082592;Santa Maria de Palautordera;211,7;257,5;469,2
431401;Santa Oliva;90,1;143,3;233,4
171848;Santa Pau;17,3;28,3;45,7
082606;Santa Perpètua de Mogoda;462,4;699,8;1162,3
082613;Santa Susanna;58,9;86,0;144,9
081923;Santpedor;92,4;128,2;220,6
431423;Sarral;22,8;31,8;54,6
171864;Sarrià de Ter;73,8;82,3;156,1
252017;Sarroca de Bellera;3,6;2,0;5,6
252000;Sarroca de Lleida;2,8;4,0;6,8
171870;Saus, Camallera i Llampaies;14,3;16,5;30,8
431439;Savallà del Comtat;1,2;1,0;2,2
431444;Secuita, la;28,6;40,1;68,7
171886;Selva de Mar, la;2,8;3,8;6,6
431457;Selva del Camp, la;88,9;113,3;202,2
431460;Senan;1,9;0,0;1,9
430445;Sénia, la;114,7;158,0;272,7
252022;Senterada;6,7;3,8;10,5
250352;Sentiu de Sió, la;6,1;6,4;12,5
082671;Sentmenat;139,8;217,2;357,0
171903;Serinyà;17,5;24,1;41,6
252043;Seròs;17,4;25,8;43,3
171910;Serra de Daró;0,6;3,0;3,6
171925;Setcases;0,1;1,3;1,3
252038;Seu d'Urgell, la;221,5;297,8;519,3
082690;Seva;50,8;61,3;112,2
252056;Sidamon;6,8;12,9;19,7
171931;Sils;133,2;162,7;295,8
082704;Sitges;405,2;543,3;948,4
170524;Siurana;0,4;2,3;2,8
082711;Sobremunt;0,3;1,6;1,9
252069;Soleràs, el;2,3;3,0;5,3
431476;Solivella;6,8;9,3;16,0
252075;Solsona;165,1;221,0;386,1
082726;Sora;2,6;4,6;7,2
252081;Soriguera;3,7;3,5;7,2
252094;Sort;19,3;27,0;46,3
252108;Soses;14,3;29,5;43,8
082732;Subirats;45,6;62,5;108,1
252115;Sudanell;6,1;6,4;12,5
252120;Sunyer;2,5;4,1;6,6
082747;Súria;104,8;150,7;255,4
171946;Susqueda;2,6;2,3;4,8
082763;Tagamanent;6,4;8,1;14,5
082779;Talamanca;2,3;6,3;8,6
252154;Talarn;4,0;5,7;9,7
252167;Talavera;0,8;1,5;2,3
171959;Tallada d'Empordà, la;3,2;6,2;9,3
082785;Taradell;86,5;128,8;215,3
431482;Tarragona;2752,5;3706,2;6458,7
252173;Tàrrega;306,4;498,0;804,4
252189;Tarrés;2,2;3,6;5,8
252192;Tarroja de Segarra;1,3;1,2;2,5
082750;Tavèrnoles;1,3;2,5;3,8
082802;Tavertet;2,2;2,8;5,0
082819;Teià;79,9;112,3;192,2
252206;Térmens;13,9;19,9;33,8
171962;Terrades;3,4;3,5;6,9
082798;Terrassa;5029,0;7210,9;12239,9
082824;Tiana;84,0;142,9;226,9
252213;Tírvia;1,3;1,2;2,4
252228;Tiurana;..;..;..
431495;Tivenys;18,4;16,2;34,6
431508;Tivissa;13,8;34,2;48,0
082830;Tona;120,6;157,9;278,5
252234;Torà;17,3;19,1;36,3
082845;Tordera;451,5;616,2;1067,7
082858;Torelló;263,3;388,1;651,4
252249;Torms, els;1,3;1,2;2,4
252252;Tornabous;9,8;13,3;23,1
252271;Torre de Cabdella, la;2,5;5,8;8,3
082861;Torre de Claramunt, la;93,7;146,6;240,3
431515;Torre de Fontaubella, la;2,3;0,9;3,2
431520;Torre de l'Espanyol, la;9,7;16,8;26,4
252265;Torrebesses;3,5;4,6;8,1
431536;Torredembarra;359,3;564,1;923,3
252287;Torrefarrera;53,2;85,8;138,9
259078;Torrefeta i Florejacs;5,8;6,9;12,8
252304;Torregrossa;20,1;29,8;49,9
252311;Torrelameu;5,6;7,8;13,3
082877;Torrelavit;16,3;28,1;44,4
082883;Torrelles de Foix;86,9;97,5;184,4
082896;Torrelles de Llobregat;86,1;104,4;190,5
171978;Torrent;3,3;2,4;5,7
252326;Torres de Segre;28,7;47,8;76,4
252332;Torre-serona;3,9;2,4;6,3
171984;Torroella de Fluvià;5,7;10,0;15,7
171997;Torroella de Montgrí;147,8;168,8;316,5
431541;Torroja del Priorat;1,0;3,2;4,2
172001;Tortellà;10,6;13,5;24,1
431554;Tortosa;745,7;909,2;1654,8
172018;Toses;3,2;2,2;5,3
172023;Tossa de Mar;52,5;57,4;109,9
252347;Tremp;105,6;133,5;239,1
172044;Ullà;15,2;16,8;31,9
082900;Ullastrell;22,2;46,6;68,8
172057;Ullastret;1,4;2,8;4,2
431567;Ulldecona;149,2;165,4;314,6
431573;Ulldemolins;5,4;1,4;6,8
172039;Ultramort;0,9;2,8;3,8
172060;Urús;2,4;2,8;5,2
082917;Vacarisses;140,0;181,8;321,8
170144;Vajol, la;4,2;3,3;7,5
172076;Vall d'en Bas, la;23,6;38,3;61,8
172082;Vall de Bianya, la;19,4;15,8;35,3
250432;Vall de Boí, la;10,1;9,6;19,7
259010;Vall de Cardós;3,3;3,8;7,1
082922;Vallbona d'Anoia;22,1;48,1;70,2
252385;Vallbona de les Monges;4,8;1,8;6,7
082938;Vallcebre;0,9;3,2;4,1
431589;Vallclara;0,0;2,5;2,5
252402;Vallfogona de Balaguer;23,8;32,8;56,6
171707;Vallfogona de Ripollès;5,0;3,8;8,8
431592;Vallfogona de Riucorb;1,4;1,0;2,4
082943;Vallgorguina;66,4;90,9;157,3
082956;Vallirana;246,6;365,4;612,0
172095;Vall-llobrega;14,4;16,7;31,1
431606;Vallmoll;38,3;52,7;91,0
082969;Vallromanes;32,0;45,9;77,9
431613;Valls;522,8;692,8;1215,5
259062;Valls d'Aguilar, les;1,8;0,3;2,0
252398;Valls de Valira, les;4,2;7,8;11,9
431628;Vandellòs i l'Hospitalet de l'Infant;81,0;150,7;231,7
259097;Vansa i Fórnols, la;1,4;2,6;4,0
082975;Veciana;1,7;2,9;4,6
431634;Vendrell, el;957,3;1536,5;2493,8
172109;Ventalló;7,0;9,6;16,6
252424;Verdú;15,2;16,9;32,1
172116;Verges;14,3;14,9;29,3
431649;Vespella de Gaià;12,0;8,4;20,4
082981;Vic;1033,4;1196,5;2229,9
172121;Vidrà;1,2;1,8;2,9
172137;Vidreres;156,5;222,0;378,5
252430;Vielha e Mijaran;33,8;40,4;74,2
431652;Vilabella;10,5;13,4;23,9
172142;Vilabertran;6,1;11,8;17,8
172155;Vilablareix;23,8;42,8;66,5
082994;Vilada;3,6;11,8;15,4
172174;Viladamat;5,3;2,8;8,2
172168;Viladasens;0,3;3,0;3,3
083015;Viladecans;1159,9;1731,1;2891,0
083008;Viladecavalls;132,6;164,3;296,9
172180;Vilademuls;7,9;17,8;25,7
172207;Viladrau;18,1;16,1;34,2
172214;Vilafant;69,9;126,8;196,7
083054;Vilafranca del Penedès;737,3;1068,8;1806,1
252445;Vilagrassa;5,1;16,4;21,5
172235;Vilajuïga;18,0;19,9;37,9
431750;Vilalba dels Arcs;7,0;14,3;21,3
083067;Vilalba Sasserra;18,2;18,8;37,0
252458;Vilaller;4,3;7,3;11,6
172240;Vilallonga de Ter;4,6;6,7;11,3
431665;Vilallonga del Camp;38,7;60,8;99,4
172253;Vilamacolum;7,0;9,0;16,0
172266;Vilamalla;14,2;21,0;35,2
172272;Vilamaniscle;0,5;1,5;2,0
252477;Vilamòs;3,8;4,2;7,9
172288;Vilanant;0,8;5,8;6,6
431671;Vilanova d'Escornalbou;13,8;11,8;25,6
252483;Vilanova de Bellpuig;12,7;14,0;26,7
252496;Vilanova de l'Aguda;0,0;0,0;0,0
252542;Vilanova de la Barca;9,2;18,0;27,2
252509;Vilanova de Meià;7,4;7,0;14,4
431687;Vilanova de Prades;3,8;1,2;4,9
083036;Vilanova de Sau;5,1;7,8;12,9
252516;Vilanova de Segrià;11,6;14,5;26,1
083020;Vilanova del Camí;284,8;518,0;802,8
089024;Vilanova del Vallès;79,8;98,9;178,8
083073;Vilanova i la Geltrú;1509,2;2081,2;3590,3
431690;Vilaplana;12,2;7,8;19,9
431704;Vila-rodona;29,7;37,8;67,5
172305;Vila-sacra;11,5;7,0;18,5
252521;Vila-sana;5,4;8,4;13,8
431711;Vila-seca;328,5;503,7;832,2
082140;Vilassar de Dalt;145,5;171,4;316,9
082191;Vilassar de Mar;284,6;384,7;669,3
172229;Vilaür;2,3;1,3;3,7
431726;Vilaverd;9,3;12,3;21,5
431732;Vilella Alta, la;3,0;1,3;4,3
431747;Vilella Baixa, la;3,0;3,7;6,7
172333;Vilobí d'Onyar;30,3;47,2;77,5
083041;Vilobí del Penedès;12,2;21,1;33,3
172327;Vilopriu;1,5;5,1;6,6
252537;Vilosell, el;1,3;3,9;5,2
431763;Vimbodí i Poblet;15,6;21,8;37,3
252555;Vinaixa;5,6;7,6;13,2
431779;Vinebre;7,2;8,4;15,6
431785;Vinyols i els Arcs;27,4;53,6;81,0
083089;Viver i Serrateix;0,5;1,6;2,1
430521;Xerta;32,4;29,7;62,1
;Catalunya;142232,5;193465,8;335698,3
