Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
171740;Sant Miquel de Campmajor;1717400000;28;
171753;Sant Miquel de Fluvià;1717530008;02;
171766;Sant Mori;1717660009;02;
171772;Sant Pau de Segúries;1717720002;31;
082310;Sant Pere de Ribes;0823100000;17;
082325;Sant Pere de Riudebitlles;0823250006;03;
082331;Sant Pere de Torelló;0823310007;24;
082346;Sant Pere de Vilamajor;0823460009;41;
171788;Sant Pere Pescador;1717880001;02;
081897;Sant Pere Sallavinera;0818970005;06;
082359;Sant Pol de Mar;0823590004;21;
082362;Sant Quintí de Mediona;0823620002;03;
082378;Sant Quirze de Besora;0823780001;24;
082384;Sant Quirze del Vallès;0823840003;40;
082397;Sant Quirze Safaja;0823970005;42;
251945;Sant Ramon;2519450006;32;
082401;Sant Sadurní d'Anoia;0824010007;03;
082418;Sant Sadurní d'Osormort;0824180001;24;
080983;Sant Salvador de Guardiola;0809830008;07;
082628;Sant Vicenç de Castellet;0826280001;07;
082649;Sant Vicenç de Montalt;0826490004;21;
082652;Sant Vicenç de Torelló;0826520002;24;
082634;Sant Vicenç dels Horts;0826340003;11;
431384;Santa Bàrbara;4313840003;22;
082439;Santa Cecília de Voltregà;0824390004;24;
082444;Santa Coloma de Cervelló;0824440003;11;
171805;Santa Coloma de Farners;1718050006;34;
082457;Santa Coloma de Gramenet;0824570005;13;
431397;Santa Coloma de Queralt;4313970005;16;
171812;Santa Cristina d'Aro;1718120002;10;
082460;Santa Eugènia de Berga;0824600000;24;
082476;Santa Eulàlia de Riuprimer;0824760009;24;
082482;Santa Eulàlia de Ronçana;0824820002;41;
082495;Santa Fe del Penedès;0824950006;03;
171827;Santa Llogaia d'Àlguema;1718270005;02;
082508;Santa Margarida de Montbui;0825080001;06;
082515;Santa Margarida i els Monjos;0825150006;03;
082589;Santa Maria d'Oló;0825890004;42;
082536;Santa Maria de Besora;0825360009;24;
082567;Santa Maria de Martorelles;0825670005;41;
082554;Santa Maria de Merlès;0825540003;14;
082573;Santa Maria de Miralles;0825730008;06;
082592;Santa Maria de Palautordera;0825920002;41;
431401;Santa Oliva;4314010007;12;
171848;Santa Pau;1718480001;19;
082606;Santa Perpètua de Mogoda;0826060009;40;
082613;Santa Susanna;0826130008;21;
081923;Santpedor;0819230008;07;
431423;Sarral;4314230008;16;
171864;Sarrià de Ter;1718640003;20;
252017;Sarroca de Bellera;2520170005;25;
252000;Sarroca de Lleida;2520000000;33;
171870;Saus, Camallera i Llampaies;1718700000;02;
431439;Savallà del Comtat;4314390004;16;
431444;Secuita, la;4314440003;36;
171886;Selva de Mar, la;1718860009;02;
431457;Selva del Camp, la;4314570005;08;
431460;Senan;4314600000;16;
430445;Sénia, la;4304450006;22;
252022;Senterada;2520220002;25;
250352;Sentiu de Sió, la;2503520002;23;
082671;Sentmenat;0826710007;40;
171903;Serinyà;1719030008;28;
252043;Seròs;2520430008;33;
171910;Serra de Daró;1719100000;10;
171925;Setcases;1719250006;31;
252038;Seu d'Urgell, la;2520380001;04;
082690;Seva;0826900000;24;
252056;Sidamon;2520560009;27;
171931;Sils;1719310007;34;
082704;Sitges;0827040003;17;
170524;Siurana;1705240003;02;
082711;Sobremunt;0827110007;43;
252069;Soleràs, el;2520690004;18;
431476;Solivella;4314760009;16;
252075;Solsona;2520750006;35;
082726;Sora;0827260009;24;
252081;Soriguera;2520810007;26;
252094;Sort;2520940003;26;
252108;Soses;2521080001;33;
082732;Subirats;0827320002;03;
252115;Sudanell;2521150006;33;
252120;Sunyer;2521200000;33;
082747;Súria;0827470005;07;
171946;Susqueda;1719460009;34;
082763;Tagamanent;0827630008;41;
082779;Talamanca;0827790004;07;
252154;Talarn;2521540003;25;
252167;Talavera;2521670005;32;
171959;Tallada d'Empordà, la;1719590004;10;
082785;Taradell;0827850006;24;
431482;Tarragona;4314820002;36;
252173;Tàrrega;2521730008;38;
252189;Tarrés;2521890004;18;
252192;Tarroja de Segarra;2521920002;32;
082750;Tavèrnoles;0827500000;24;
082802;Tavertet;0828020002;24;
082819;Teià;0828190004;21;
252206;Térmens;2522060009;23;
171962;Terrades;1719620002;02;
082798;Terrassa;0827980001;40;
082824;Tiana;0828240003;21;
252213;Tírvia;2522130008;26;
252228;Tiurana;2522280001;23;
431495;Tivenys;4314950006;09;
431508;Tivissa;4315080001;30;
082830;Tona;0828300000;24;
252234;Torà;2522340003;35;
082845;Tordera;0828450006;21;
082858;Torelló;0828580001;24;
252249;Torms, els;2522490004;18;
252252;Tornabous;2522520002;38;
252271;Torre de Cabdella, la;2522710007;25;
082861;Torre de Claramunt, la;0828610007;06;
431515;Torre de Fontaubella, la;4315150006;29;
431520;Torre de l'Espanyol, la;4315200000;30;
252332;Torre-serona;2523320002;33;
252265;Torrebesses;2522650006;33;
431536;Torredembarra;4315360009;36;
252287;Torrefarrera;2522870005;33;
259078;Torrefeta i Florejacs;2590780001;32;
252304;Torregrossa;2523040003;27;
252311;Torrelameu;2523110007;23;
082877;Torrelavit;0828770005;03;
082883;Torrelles de Foix;0828830008;03;
082896;Torrelles de Llobregat;0828960009;11;
171978;Torrent;1719780001;10;
252326;Torres de Segre;2523260009;33;
171984;Torroella de Fluvià;1719840003;02;
171997;Torroella de Montgrí;1719970005;10;
431541;Torroja del Priorat;4315410007;29;
172001;Tortellà;1720010007;19;
431554;Tortosa;4315540003;09;
172018;Toses;1720180001;31;
172023;Tossa de Mar;1720230008;34;
252347;Tremp;2523470005;25;
172044;Ullà;1720440003;10;
082900;Ullastrell;0829000000;40;
172057;Ullastret;1720570005;10;
431567;Ulldecona;4315670005;22;
431573;Ulldemolins;4315730008;29;
172039;Ultramort;1720390004;10;
172060;Urús;1720600000;15;
082917;Vacarisses;0829170005;40;
170144;Vajol, la;1701440003;02;
172076;Vall d'en Bas, la;1720760009;19;
172082;Vall de Bianya, la;1720820002;19;
250432;Vall de Boí, la;2504320002;05;
259010;Vall de Cardós;2590100000;26;
172095;Vall-llobrega;1720950006;10;
082922;Vallbona d'Anoia;0829220002;06;
252385;Vallbona de les Monges;2523850006;38;
082938;Vallcebre;0829380001;14;
431589;Vallclara;4315890004;16;
252402;Vallfogona de Balaguer;2524020002;23;
171707;Vallfogona de Ripollès;1717070005;31;
431592;Vallfogona de Riucorb;4315920002;16;
082943;Vallgorguina;0829430008;41;
082956;Vallirana;0829560009;11;
431606;Vallmoll;4316060009;01;
082969;Vallromanes;0829690004;41;
431613;Valls;4316130008;01;
259062;Valls d'Aguilar, les;2590620002;04;
252398;Valls de Valira, les;2523980001;04;
431628;Vandellòs i l'Hospitalet de l'Infant;4316280001;08;
259097;Vansa i Fórnols, la;2590970005;04;
082975;Veciana;0829750006;06;
431634;Vendrell, el;4316340003;12;
172109;Ventalló;1721090004;02;
252424;Verdú;2524240003;38;
172116;Verges;1721160009;10;
431649;Vespella de Gaià;4316490004;36;
082981;Vic;0829810007;24;
172121;Vidrà;1721210007;24;
172137;Vidreres;1721370005;34;
252430;Vielha e Mijaran;2524300000;39;
431704;Vila-rodona;4317040003;01;
172305;Vila-sacra;1723050006;02;
252521;Vila-sana;2525210007;27;
431711;Vila-seca;4317110007;36;
431652;Vilabella;4316520002;01;
172142;Vilabertran;1721420002;02;
172155;Vilablareix;1721550006;20;
082994;Vilada;0829940003;14;
172174;Viladamat;1721740003;02;
172168;Viladasens;1721680001;20;
083015;Viladecans;0830150006;11;
083008;Viladecavalls;0830080001;40;
172180;Vilademuls;1721800000;28;
172207;Viladrau;1722070005;24;
172214;Vilafant;1722140003;02;
083054;Vilafranca del Penedès;0830540003;03;
252445;Vilagrassa;2524450006;38;
172235;Vilajuïga;1722350006;02;
431750;Vilalba dels Arcs;4317500000;37;
083067;Vilalba Sasserra;0830670005;41;
252458;Vilaller;2524580001;05;
172240;Vilallonga de Ter;1722400000;31;
431665;Vilallonga del Camp;4316650006;36;
172253;Vilamacolum;1722530008;02;
172266;Vilamalla;1722660009;02;
172272;Vilamaniscle;1722720002;02;
252477;Vilamòs;2524770005;39;
172288;Vilanant;1722880001;02;
431671;Vilanova d'Escornalbou;4316710007;08;
252483;Vilanova de Bellpuig;2524830008;27;
252496;Vilanova de l'Aguda;2524960009;23;
252542;Vilanova de la Barca;2525420002;33;
252509;Vilanova de Meià;2525090004;23;
431687;Vilanova de Prades;4316870005;16;
083036;Vilanova de Sau;0830360009;24;
252516;Vilanova de Segrià;2525160009;33;
083020;Vilanova del Camí;0830200000;06;
089024;Vilanova del Vallès;0890240003;41;
083073;Vilanova i la Geltrú;0830730008;17;
431690;Vilaplana;4316900000;08;
082140;Vilassar de Dalt;0821400000;21;
082191;Vilassar de Mar;0821910007;21;
172229;Vilaür;1722290004;02;
431726;Vilaverd;4317260009;16;
431732;Vilella Alta, la;4317320002;29;
431747;Vilella Baixa, la;4317470005;29;
172333;Vilobí d'Onyar;1723330008;34;
083041;Vilobí del Penedès;0830410007;03;
172327;Vilopriu;1723270005;10;
252537;Vilosell, el;2525370005;18;
431763;Vimbodí i Poblet;4317630008;16;
252555;Vinaixa;2525550006;18;
431779;Vinebre;4317790004;30;
431785;Vinyols i els Arcs;4317850006;08;
083089;Viver i Serrateix;0830890004;14;
430521;Xerta;4305210007;09;

