Ajuntaments 
Institut d'Estadística de Catalunya
https://www.idescat.cat/codis/?id=50&n=4
Codi;Nom;Codi ajuntament;Codi comarca;
080288;Cabrera d'Anoia;0802880001;06;
080291;Cabrera de Mar;0802910007;21;
080305;Cabrils;0803050006;21;
170329;Cadaqués;1703290004;02;
080312;Calaf;0803120002;06;
430379;Calafell;4303790004;12;
080348;Calders;0803480001;42;
080327;Caldes d'Estrac;0803270005;21;
170335;Caldes de Malavella;1703350006;34;
080333;Caldes de Montbui;0803330008;41;
080351;Calella;0803510007;21;
080370;Calldetenes;0803700000;24;
080386;Callús;0803860009;07;
080364;Calonge de Segarra;0803640003;06;
170340;Calonge i Sant Antoni;1703400000;10;
250621;Camarasa;2506210007;23;
439039;Camarles;4390390004;09;
430385;Cambrils;4303850006;08;
170353;Camós;1703530008;28;
170366;Campdevànol;1703660009;31;
170372;Campelles;1703720002;31;
080399;Campins;0803990004;41;
170388;Campllong;1703880001;20;
170391;Camprodon;1703910007;31;
250637;Canejan;2506370005;39;
170405;Canet d'Adri;1704050006;20;
080403;Canet de Mar;0804030008;21;
439076;Canonja, la;4390760009;36;
080410;Canovelles;0804100000;41;
080425;Cànoves i Samalús;0804250006;41;
170412;Cantallops;1704120002;02;
080431;Canyelles;0804310007;17;
430398;Capafonts;4303980001;08;
430402;Capçanes;4304020002;29;
080446;Capellades;0804460009;06;
170427;Capmany;1704270005;02;
080459;Capolat;0804590004;14;
080462;Cardedeu;0804620002;41;
080478;Cardona;0804780001;07;
080484;Carme;0804840003;06;
430419;Caseres;4304190004;37;
170448;Cassà de la Selva;1704480001;20;
080497;Casserres;0804970005;14;
170486;Castell d'Aro, Platja d'Aro i s'Agaró;1704860009;10;
080575;Castell de l'Areny;0805750006;14;
259046;Castell de Mur;2590460009;25;
250642;Castellar de la Ribera;2506420002;35;
080522;Castellar de n'Hug;0805220002;14;
080500;Castellar del Riu;0805000000;14;
080517;Castellar del Vallès;0805170005;40;
080538;Castellbell i el Vilar;0805380001;07;
080543;Castellbisbal;0805430008;40;
080556;Castellcir;0805560009;42;
250674;Castelldans;2506740003;18;
080569;Castelldefels;0805690004;11;
080581;Castellet i la Gornal;0805810007;03;
170464;Castellfollit de la Roca;1704640003;19;
080608;Castellfollit de Riubregós;0806080001;06;
080594;Castellfollit del Boix;0805940003;07;
080615;Castellgalí;0806150006;07;
080620;Castellnou de Bages;0806200000;07;
250680;Castellnou de Seana;2506800000;27;
170470;Castelló d'Empúries;1704700000;02;
250693;Castelló de Farfanya;2506930008;23;
080636;Castellolí;0806360009;06;
250707;Castellserà;2507070005;38;
080641;Castellterçol;0806410007;42;
430424;Castellvell del Camp;4304240003;08;
080654;Castellví de la Marca;0806540003;03;
080667;Castellví de Rosanes;0806670005;11;
430430;Catllar, el;4304300000;36;
250714;Cava;2507140003;04;
171899;Cellera de Ter, la;1718990004;34;
170499;Celrà;1704990004;20;
080673;Centelles;0806730008;24;
082687;Cercs;0826870005;14;
082665;Cerdanyola del Vallès;0826650006;40;
080689;Cervelló;0806890004;11;
250729;Cervera;2507290004;32;
250735;Cervià de les Garrigues;2507350006;18;
170502;Cervià de Ter;1705020002;20;
170519;Cistella;1705190004;02;
